customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,SeniorCitizenLabel,TenureBand,ChurnFlag,RevenueAtRisk,RiskTier,ExpectedTotal,ChargeDifference
7590-VHVEG,Female,0,Yes,No,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,Non-Senior,New Customer,0,0.0,High Risk,29.85,0.0
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,Non-Senior,Established,0,0.0,Low Risk,1936.3000000000002,-46.80000000000018
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,Non-Senior,New Customer,1,53.85,High Risk,107.7,0.45000000000000284
7795-CFOCW,Male,0,No,No,45,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,Non-Senior,Established,0,0.0,Low Risk,1903.4999999999998,-62.74999999999977
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,Non-Senior,New Customer,1,70.7,High Risk,141.4,10.25
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,Non-Senior,New Customer,1,99.65,High Risk,797.2,23.299999999999955
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,Non-Senior,Early,0,0.0,Medium Risk,1960.1999999999998,-10.799999999999727
6713-OKOMC,Female,0,No,No,10,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,Non-Senior,New Customer,0,0.0,High Risk,297.5,4.399999999999977
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,Non-Senior,Established,1,104.8,Low Risk,2934.4,111.65000000000009
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,Non-Senior,Loyal,0,0.0,Low Risk,3481.2999999999997,6.650000000000091
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,Non-Senior,Early,0,0.0,Medium Risk,649.35,-61.89999999999998
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),18.95,326.8,No,Non-Senior,Early,0,0.0,Low Risk,303.2,23.600000000000023
